,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
393,Green Tea,118,7.9,62.0,22.9,4.9,30.2,63,215,519
394,Pork Chop,520,20.3,19.3,42.6,2.9,18.8,303,75,812
395,Tomato,564,44.9,98.5,4.2,1.9,23.5,38,218,758
396,Chips,106,8.1,61.7,34.2,3.1,11.8,815,76,883
397,Beef Steak,95,5.7,54.7,15.3,0.1,38.3,548,17,500
398,Potato,410,14.5,28.7,34.0,2.8,43.8,44,165,716
399,Milkshake,93,11.6,18.4,28.0,4.7,16.3,974,173,307
400,Orange,534,17.0,89.5,23.8,9.4,15.2,628,189,686
401,Tomato,569,27.0,19.1,14.6,1.8,12.6,72,140,550
402,Salmon,338,14.2,46.8,29.0,6.6,9.2,284,262,316
403,Water,285,38.0,25.8,6.9,0.5,45.2,555,8,372
404,Milkshake,64,3.4,75.9,26.7,5.0,31.1,414,129,397
405,Milk,363,11.8,10.4,7.8,6.4,29.0,4,12,771
406,Coffee,227,24.0,82.0,6.6,2.7,43.7,934,182,232
407,Quinoa,236,17.0,26.4,14.3,5.1,19.6,908,242,905
408,Butter,169,45.8,33.5,8.8,9.7,44.4,959,41,781
409,Chocolate,214,12.7,58.5,35.7,6.4,19.5,404,30,686
410,Milkshake,518,9.2,90.4,11.8,2.7,40.9,596,45,587
411,Bread,353,49.1,56.4,45.3,3.4,43.9,326,0,585
412,Butter,134,1.6,17.2,12.6,2.6,13.5,100,109,640
413,Quinoa,151,12.4,85.9,21.2,4.8,3.4,498,118,744
414,Water,521,44.6,31.1,26.4,4.1,12.9,290,53,900
415,Paneer,270,16.8,64.3,34.3,0.7,21.4,619,171,663
416,Milkshake,125,17.0,76.3,30.6,4.1,42.8,564,89,866
417,Paneer,279,49.1,27.3,42.7,8.2,24.2,356,157,106
418,Bread,128,22.0,41.6,24.5,9.5,40.3,251,177,487
419,Chicken Breast,311,15.8,26.3,16.1,5.8,15.4,183,69,604
420,Pasta,156,35.6,92.1,16.4,3.5,32.9,552,282,120
421,Bread,315,39.7,12.5,20.2,4.5,19.5,104,252,502
422,Milk,257,38.6,30.7,7.9,9.3,30.5,186,68,194
423,Water,297,5.2,76.2,40.2,3.5,32.8,499,54,649
424,Yogurt,442,16.4,8.4,20.0,2.7,18.2,519,188,545
425,Milkshake,476,20.2,91.5,19.3,4.5,24.2,162,24,356
426,Orange,560,18.4,75.7,4.5,8.5,47.3,702,230,916
427,Water,399,13.7,97.5,23.9,3.7,32.7,677,300,867
428,Tomato,392,29.5,97.4,48.0,5.0,24.8,909,10,741
429,Broccoli,76,33.3,42.1,32.4,1.4,13.1,971,167,385
430,Yogurt,461,14.0,79.3,34.8,3.0,43.6,614,39,140
431,Banana,297,34.1,19.6,24.7,2.4,16.1,19,53,699
432,Chicken Breast,195,2.7,28.8,8.2,6.4,7.2,24,227,613
433,Spinach,292,32.7,99.4,9.3,9.4,18.7,409,210,304
434,Coffee,344,7.0,44.8,23.6,9.7,49.0,80,183,972
435,Salmon,417,41.9,35.1,15.0,7.7,25.5,788,48,133
436,Orange Juice,158,2.2,29.2,7.2,8.4,19.1,452,175,221
437,Apple,170,46.1,21.9,14.9,5.2,15.2,398,109,364
438,Salmon,62,16.1,62.7,4.8,2.4,20.0,499,156,781
439,Beef Steak,445,9.5,61.3,4.6,8.5,14.1,34,18,338
440,Spinach,186,35.2,55.9,44.4,2.1,40.1,14,107,333
441,Eggs,279,43.1,9.6,26.1,4.1,24.5,145,185,154
442,Cookies,295,41.4,96.1,40.5,9.1,10.0,190,40,105
443,Grapes,454,2.2,58.1,37.4,7.9,17.7,473,25,314
444,Chicken Breast,57,24.6,23.8,42.6,8.9,32.4,634,48,871
445,Milk,269,46.9,78.5,27.7,2.4,5.3,699,202,261
446,Milkshake,583,11.1,56.9,24.7,5.3,32.7,199,83,644
447,Chicken Breast,54,45.8,81.1,1.4,7.3,6.5,116,223,564
448,Potato,274,49.4,63.0,6.9,5.6,30.4,119,196,811
449,Salmon,577,21.2,21.4,34.3,10.0,6.6,622,116,232
450,Orange Juice,423,36.6,10.4,1.7,2.0,14.0,582,153,609
451,Chips,80,21.4,95.9,6.7,5.3,10.3,523,111,182
452,Eggs,79,8.0,86.9,25.0,5.3,20.1,792,212,283
453,Paneer,70,13.2,30.5,48.0,7.5,46.6,845,257,952
454,Apple,197,5.2,95.7,11.8,2.4,16.7,159,228,303
455,Beef Steak,247,29.7,45.8,34.2,5.0,27.4,482,143,885
456,Orange,163,22.5,57.6,46.7,0.7,13.3,152,257,953
457,Potato,525,28.7,37.9,20.6,3.3,32.3,471,59,537
458,Strawberry,367,41.3,61.6,34.2,2.9,1.1,974,289,802
459,Orange Juice,589,46.5,84.5,23.6,4.4,47.1,435,111,765
460,Milk,446,18.8,42.0,11.3,1.8,17.4,194,181,563
461,Coffee,433,14.4,49.1,18.0,3.6,37.0,620,192,844
462,Salmon,377,36.7,28.8,4.4,6.7,7.4,892,58,901
463,Water,109,33.9,34.5,13.5,1.0,40.4,648,111,853
464,Pork Chop,565,46.8,69.3,18.8,5.0,36.5,287,245,999
465,Rice,94,18.0,92.2,1.6,1.7,8.4,82,56,328
466,Butter,510,7.2,59.8,41.9,2.2,38.6,207,204,152
467,Spinach,363,28.0,97.5,9.0,2.2,30.0,379,70,771
468,Quinoa,174,20.2,84.7,24.7,9.6,35.2,876,39,221
469,Salmon,425,23.2,49.5,37.3,8.3,13.4,379,100,373
470,Green Tea,251,20.1,25.8,30.7,3.9,40.9,334,185,998
471,Milk,279,37.2,48.0,49.0,4.7,19.5,13,150,781
472,Beef Steak,488,11.7,9.4,13.5,2.7,45.4,763,156,816
473,Carrot,138,36.7,88.0,38.9,0.6,41.8,752,130,186
474,Paneer,315,41.0,27.7,16.0,2.2,28.0,689,147,594
475,Green Tea,115,25.5,10.2,6.8,7.6,39.2,451,94,993
476,Popcorn,342,42.0,56.1,42.8,7.3,37.3,250,76,646
477,Milkshake,373,19.3,41.1,4.2,0.5,28.0,861,70,897
478,Milkshake,322,10.4,20.0,25.0,5.8,23.4,668,17,669
479,Water,357,5.1,92.7,43.0,2.2,17.1,641,112,314
480,Chips,389,1.4,10.6,25.4,3.8,16.2,944,118,798
481,Water,488,28.0,65.3,13.6,9.1,31.1,373,83,824
482,Strawberry,124,16.7,79.1,29.5,4.5,17.1,964,296,943
483,Orange,531,48.0,57.2,7.5,1.9,2.9,646,207,314
484,Bread,93,7.2,77.6,46.6,2.8,10.9,809,193,995
485,Butter,597,32.0,97.4,4.7,5.9,26.5,634,210,657
486,Oats,363,32.3,7.1,29.2,7.5,30.2,957,299,814
487,Beef Steak,64,43.3,24.1,9.3,4.1,13.4,64,90,971
488,Chocolate,593,36.6,27.5,25.0,4.5,32.1,106,139,873
489,Beef Steak,528,22.7,12.3,28.8,5.3,30.8,691,238,897
490,Green Tea,208,37.1,36.4,8.2,5.3,47.8,982,278,160
491,Oats,474,29.5,43.1,22.1,7.9,45.4,213,41,287
492,Bread,531,29.7,81.5,31.0,1.8,0.5,496,288,878
493,Tomato,449,41.4,25.8,31.6,6.7,12.7,905,222,802
494,Pork Chop,106,24.0,67.5,21.7,9.1,4.1,560,280,210
495,Salmon,406,4.7,24.9,31.6,7.8,1.4,915,26,287
496,Coffee,375,40.6,96.6,3.5,1.4,22.4,341,149,377
497,Bread,143,15.5,51.3,12.9,7.1,33.1,862,289,263
498,Yogurt,134,14.8,21.0,14.2,4.4,30.2,241,281,615
499,Coffee,90,39.2,57.2,8.4,1.5,47.3,776,258,659
500,Paneer,312,14.8,98.2,1.1,0.0,27.3,546,283,513
501,Potato,400,45.9,38.6,37.5,3.2,22.7,337,22,309
502,Oats,424,28.5,20.1,4.1,8.8,0.4,155,280,987
503,Apple,592,48.6,45.4,32.9,3.9,19.0,140,80,849
504,Orange,363,29.3,78.7,46.5,5.2,3.6,3,43,486
505,Cheese,380,16.3,29.1,21.2,3.7,46.6,49,85,962
506,Apple,169,32.6,60.6,40.7,7.9,4.4,772,274,837
507,Quinoa,408,11.5,31.7,13.5,2.7,19.4,259,222,983
508,Nuts,243,29.9,41.8,23.3,3.9,32.2,444,172,999
509,Quinoa,237,7.0,25.4,11.1,8.6,29.8,494,131,357
510,Rice,578,33.9,10.8,26.7,2.7,49.4,742,174,549
511,Pork Chop,554,31.4,63.9,38.1,1.0,42.2,185,82,190
512,Quinoa,427,25.9,83.0,6.1,0.4,36.3,693,200,901
513,Oats,128,32.9,93.7,30.9,1.9,0.3,549,246,880
514,Chicken Breast,557,8.4,8.2,45.9,0.3,4.4,162,22,340
515,Broccoli,368,35.8,48.3,23.6,4.5,45.7,623,28,835
516,Coffee,280,44.7,80.1,11.0,9.5,5.4,640,148,675
517,Broccoli,473,38.4,25.4,24.3,5.8,47.8,177,123,361
518,Coffee,286,8.5,71.9,21.8,6.8,5.6,756,288,264
519,Salmon,87,20.9,20.0,45.3,3.9,44.6,365,157,878
520,Paneer,582,3.1,12.1,49.1,3.7,1.2,557,24,608
521,Water,370,30.7,21.6,37.2,5.6,20.7,423,97,175
522,Grapes,269,44.4,67.9,7.6,2.7,5.6,892,285,113
523,Quinoa,230,26.1,75.1,45.5,5.6,1.0,504,250,980
524,Strawberry,226,34.4,71.9,31.0,2.7,12.0,169,279,476
525,Orange Juice,437,1.3,32.2,38.4,0.8,14.7,661,142,951
526,Cookies,207,42.7,9.0,31.8,8.4,46.5,803,106,985
527,Pasta,380,18.0,13.2,12.1,7.6,31.9,987,24,461
528,Potato,185,3.2,60.3,18.4,0.3,21.2,152,68,787
529,Spinach,301,44.0,93.6,17.9,2.2,45.8,655,52,723
530,Tomato,543,47.7,8.5,2.9,8.1,5.9,414,269,353
531,Carrot,223,33.5,81.4,25.1,0.8,22.5,761,177,959
532,Bread,520,35.0,11.2,26.9,0.1,38.1,593,102,430
533,Milk,595,36.9,79.0,4.3,6.3,37.0,981,111,123
534,Oats,508,46.1,45.2,28.5,9.1,19.1,687,277,199
535,Chocolate,594,5.2,46.5,46.7,6.8,16.2,400,103,808
536,Chocolate,204,36.0,50.4,26.3,4.4,34.3,889,155,735
537,Chocolate,506,3.4,72.2,27.2,2.1,12.6,964,11,438
538,Chips,564,23.1,61.4,2.3,7.1,3.7,941,251,247
539,Water,501,18.7,12.5,35.5,4.5,16.5,278,184,464
540,Paneer,583,36.7,62.6,33.5,3.8,25.0,273,85,365
541,Bread,76,5.0,65.4,48.1,5.9,24.3,885,14,522
542,Popcorn,333,43.3,7.2,45.5,6.6,29.1,883,242,594
543,Spinach,114,41.4,25.3,27.2,7.1,27.1,658,254,384
544,Cheese,318,32.9,59.5,15.5,9.3,27.7,853,295,276
545,Carrot,243,8.1,93.7,41.1,7.6,17.3,270,290,367
546,Broccoli,107,18.2,60.7,33.7,1.1,43.1,439,207,380
547,Beef Steak,212,45.5,96.8,23.1,5.6,6.7,666,271,258
548,Oats,114,9.5,10.7,4.3,6.7,2.0,109,115,617
549,Carrot,421,33.6,28.4,18.0,2.2,27.7,790,59,261
550,Broccoli,217,33.9,76.4,29.8,0.6,13.0,453,280,508
551,Carrot,139,24.4,93.2,5.2,3.6,19.9,359,121,133
552,Milk,117,49.4,90.7,38.6,4.7,19.0,829,243,727
553,Eggs,511,30.9,82.5,17.5,7.1,20.0,845,136,231
554,Carrot,344,26.4,20.7,2.4,6.6,17.7,103,166,565
555,Beef Steak,570,42.9,74.7,25.7,4.5,48.8,722,220,825
556,Pork Chop,433,15.8,26.2,48.2,4.0,3.8,732,44,764
557,Green Tea,531,37.5,42.5,23.8,2.5,2.0,342,285,211
558,Oats,255,20.4,23.3,8.6,9.1,5.8,778,280,520
559,Water,522,1.3,59.3,24.4,5.4,20.2,675,223,500
560,Nuts,355,27.9,50.7,4.0,8.9,23.7,674,127,365
561,Green Tea,399,38.7,10.3,34.6,9.2,14.5,511,37,557
562,Grapes,375,27.2,13.7,31.7,0.7,45.1,197,92,948
563,Grapes,444,42.7,82.9,1.4,2.8,2.7,307,200,442
564,Rice,359,42.3,7.8,24.9,0.1,41.2,344,94,882
565,Potato,120,36.1,79.6,44.7,5.9,18.5,507,195,789
566,Water,426,14.3,81.4,11.2,4.9,23.0,359,237,832
567,Water,243,3.2,54.2,41.5,1.4,36.7,242,58,309
568,Cheese,274,45.8,62.5,32.4,3.6,41.9,122,167,233
569,Apple,551,38.0,29.3,3.5,5.0,2.6,645,279,328
570,Chicken Breast,277,16.6,55.6,27.6,6.6,10.7,455,265,485
571,Milkshake,352,22.9,70.2,2.1,2.8,14.3,239,265,427
572,Quinoa,152,48.7,30.5,25.1,2.1,6.2,420,186,406
573,Popcorn,600,46.4,50.3,3.8,4.2,14.9,947,183,774
574,Yogurt,175,29.3,51.3,11.7,4.2,38.5,208,237,848
575,Spinach,319,39.6,8.9,16.9,2.0,24.3,333,84,200
576,Orange Juice,249,15.0,89.8,19.4,4.6,37.5,109,276,795
577,Rice,181,18.1,36.4,39.4,8.4,8.8,504,50,699
578,Yogurt,508,24.9,72.4,13.4,6.6,26.2,745,206,189
579,Salmon,349,26.8,26.2,34.9,5.1,20.8,909,106,842
580,Chicken Breast,380,27.7,41.7,48.8,4.1,37.8,667,145,656
581,Apple,582,38.4,47.9,14.9,0.4,1.4,490,186,543
582,Eggs,261,20.1,52.5,12.7,2.9,5.3,300,99,857
583,Beef Steak,169,39.5,25.6,47.0,4.9,43.9,896,126,817
584,Banana,215,41.5,24.9,45.3,3.9,7.3,678,280,616
585,Apple,585,16.7,45.4,37.3,2.7,42.4,573,284,244
586,Salmon,140,21.6,61.3,3.7,7.7,33.5,867,172,616
587,Yogurt,182,26.6,59.3,16.6,1.6,9.0,945,41,983
588,Eggs,370,14.0,8.3,29.1,4.6,29.4,987,87,664
589,Paneer,209,22.5,56.6,27.6,7.3,22.3,673,65,857
590,Carrot,362,16.6,47.2,39.0,5.1,27.5,415,13,783
591,Popcorn,125,18.8,30.1,30.9,4.8,21.2,614,127,649
592,Pork Chop,361,19.9,81.2,9.9,1.1,27.9,934,108,798
593,Salmon,350,6.5,6.6,28.2,9.3,34.6,684,144,776
594,Grapes,600,36.4,23.0,46.4,9.9,24.3,704,211,375
595,Pork Chop,163,21.8,50.3,47.9,1.1,38.8,947,143,509
596,Water,367,6.7,34.8,5.1,9.2,27.7,550,43,866
597,Milk,147,31.9,51.7,15.3,3.3,10.3,425,276,875
598,Butter,330,49.5,39.5,39.1,2.0,8.7,995,282,738
599,Yogurt,338,21.6,46.9,30.3,5.2,20.7,612,269,284
600,Chicken Breast,440,40.1,76.1,13.9,2.6,38.9,712,135,132
601,Oats,577,38.7,28.8,43.5,3.6,17.5,933,197,960
602,Chips,121,30.7,80.6,39.7,6.0,41.3,700,281,819
603,Pork Chop,261,28.4,79.5,49.9,7.0,11.2,821,281,483
604,Butter,511,40.3,81.6,33.3,1.6,42.6,534,17,744
605,Carrot,173,2.5,59.5,8.6,7.5,27.1,887,212,422
606,Apple,226,1.5,58.8,45.2,9.4,44.3,269,296,323
607,Tomato,430,33.5,90.5,36.1,8.8,43.3,707,144,195
608,Nuts,156,30.7,11.9,43.2,2.2,48.4,231,191,273
609,Yogurt,321,12.2,7.4,20.9,8.2,34.4,269,286,104
610,Chocolate,398,33.8,75.7,28.0,0.3,19.0,698,90,795
611,Popcorn,363,35.8,68.9,6.7,9.8,36.2,826,138,698
612,Oats,299,45.1,41.0,22.1,4.6,2.1,24,34,131
613,Chocolate,263,8.3,85.8,28.9,4.4,35.1,32,130,828
614,Quinoa,530,2.0,77.9,20.6,7.1,33.8,307,33,671
615,Chicken Breast,93,45.7,98.1,22.5,4.8,40.6,199,185,547
616,Popcorn,337,17.2,39.0,13.9,9.7,0.7,363,295,601
617,Spinach,148,18.2,6.2,7.8,7.2,41.7,590,74,386
618,Grapes,224,44.2,71.1,36.2,9.9,42.0,792,83,665
619,Salmon,280,18.7,58.8,44.1,6.7,13.2,547,105,722
620,Grapes,303,32.0,61.8,31.1,8.2,39.9,42,280,692
621,Nuts,254,24.0,57.3,15.3,5.9,35.9,848,51,393
622,Chicken Breast,584,40.2,14.3,29.2,4.7,41.7,359,188,753
623,Cheese,428,8.1,11.2,41.1,6.2,36.4,558,66,258
624,Water,368,40.5,53.3,30.0,3.9,8.9,218,7,217
625,Carrot,494,48.8,75.8,34.0,7.1,1.6,678,273,954
626,Quinoa,565,36.6,32.4,41.6,5.1,10.4,855,28,572
627,Eggs,443,21.3,61.9,15.0,8.9,38.0,280,222,254
628,Broccoli,97,7.1,12.6,24.8,2.5,20.7,355,242,930
629,Tomato,483,4.0,35.0,16.4,4.2,16.5,727,24,820
630,Spinach,447,46.5,36.4,22.4,0.5,43.7,812,128,768
631,Apple,253,4.5,13.3,38.1,0.9,2.6,710,117,136
632,Chips,270,14.1,100.0,28.1,4.5,14.9,595,97,648
633,Pasta,75,2.8,91.9,3.4,0.6,3.8,632,67,504
634,Broccoli,331,22.4,92.7,42.8,5.9,4.8,644,193,687
635,Yogurt,73,23.5,9.7,21.2,4.4,30.0,602,143,951
636,Butter,442,33.0,95.5,15.1,5.1,5.2,709,240,674
637,Spinach,174,33.1,46.6,45.4,3.7,23.4,56,229,296
638,Coffee,376,7.1,92.5,32.9,4.0,42.8,350,124,410
639,Nuts,516,12.6,82.8,32.8,8.7,33.9,320,11,740
640,Orange,526,18.0,7.4,26.2,6.3,32.2,842,139,265
641,Chicken Breast,73,25.5,27.9,18.0,1.0,44.1,591,13,647
642,Popcorn,153,37.0,17.4,15.5,3.7,43.1,153,299,480
643,Chicken Breast,77,35.9,57.3,45.6,2.9,3.1,296,130,294
644,Popcorn,571,46.0,22.6,47.3,5.5,36.0,655,49,771
645,Coffee,519,43.4,99.8,39.0,4.2,28.0,693,260,156
646,Chips,358,3.8,36.8,47.9,2.8,33.1,217,116,264
647,Chocolate,372,21.4,21.7,29.6,1.9,18.3,208,25,990
648,Water,517,5.7,21.7,8.7,8.1,25.5,118,296,363
649,Nuts,204,42.4,92.1,39.3,5.9,24.3,986,18,172
650,Chocolate,378,20.1,94.2,37.7,3.4,18.7,402,184,902
651,Pasta,428,25.1,83.1,48.1,8.3,42.5,780,154,155
652,Strawberry,500,24.1,84.1,41.0,8.4,19.6,52,187,914
653,Orange Juice,178,47.7,77.3,48.5,6.4,19.8,587,98,502
654,Broccoli,597,1.3,57.4,49.3,8.7,47.0,885,32,801
655,Cookies,364,24.5,89.3,41.9,0.2,43.6,48,227,501
656,Cheese,311,28.5,14.2,46.7,9.3,24.4,947,276,689
657,Orange Juice,509,14.0,83.6,17.2,4.2,36.4,943,132,678
658,Rice,591,33.4,71.1,12.1,1.4,23.2,459,218,870
659,Apple,363,48.4,25.2,49.3,8.6,4.1,464,59,433
660,Rice,211,30.3,70.4,22.4,2.2,47.2,527,296,647
661,Beef Steak,262,8.7,20.6,44.3,0.2,27.5,561,253,368
662,Popcorn,560,39.0,65.1,23.1,2.5,41.0,293,136,551
663,Carrot,366,30.7,42.6,8.6,2.4,18.5,549,12,305
664,Yogurt,51,46.0,56.4,49.0,2.6,43.3,861,229,420
665,Milk,312,16.3,77.5,13.0,7.1,9.4,712,287,144
666,Orange,586,2.0,17.7,35.4,5.1,37.9,422,239,558
667,Chocolate,517,34.5,85.8,40.8,7.1,2.9,414,275,988
668,Milkshake,219,19.6,12.7,16.6,9.8,37.7,784,139,979
669,Grapes,578,1.8,50.6,22.0,4.2,20.4,659,162,783
670,Milk,431,6.8,15.3,40.5,1.5,27.2,694,174,949
671,Spinach,275,49.2,25.1,11.5,6.3,36.4,113,286,527
672,Strawberry,215,19.6,61.0,28.4,7.3,19.9,422,94,447
673,Spinach,467,28.5,70.0,40.5,6.4,18.6,512,64,814
674,Chips,422,42.9,71.4,34.9,5.4,2.9,891,47,230
675,Potato,105,42.2,37.0,33.3,4.2,28.5,551,228,446
676,Milk,459,49.1,28.4,3.7,1.4,36.3,944,217,795
677,Milkshake,433,23.8,69.1,24.9,9.5,38.8,232,96,604
678,Beef Steak,578,32.5,5.2,2.2,2.2,29.4,971,208,961
679,Orange,443,32.1,40.3,20.8,0.2,18.1,748,222,391
680,Quinoa,96,9.3,11.6,19.9,7.3,27.5,647,286,297
681,Eggs,530,43.8,67.2,10.5,0.8,16.2,402,249,802
682,Potato,337,15.3,8.1,30.5,1.3,37.5,725,296,707
683,Milk,495,42.8,84.6,30.9,4.5,34.1,472,215,463
684,Cookies,593,41.3,70.6,7.4,6.7,21.7,421,64,476
685,Potato,133,10.3,36.7,1.1,1.1,0.8,756,284,978
686,Cheese,66,44.0,46.5,22.4,5.9,27.3,523,33,749
687,Coffee,90,8.0,79.6,38.4,5.4,14.1,691,190,876
688,Pasta,295,34.8,93.0,1.0,3.6,39.6,620,28,137
689,Rice,335,49.2,84.5,36.8,2.5,33.9,589,19,458
690,Potato,314,14.6,59.1,34.2,4.2,44.0,34,235,970
691,Spinach,274,39.6,82.1,42.0,2.6,40.5,351,22,219
692,Chips,459,40.0,83.9,7.5,3.5,46.8,573,241,794
693,Cheese,442,33.7,69.7,33.3,8.6,27.0,618,135,562
694,Potato,155,34.6,49.0,34.3,3.5,10.0,872,237,511
695,Spinach,224,25.4,34.0,44.2,3.0,1.0,351,262,810
696,Tomato,259,8.2,36.8,9.3,6.3,38.6,377,43,915
697,Salmon,402,13.0,62.1,37.9,6.1,4.2,468,70,170
698,Paneer,98,8.0,57.1,43.5,7.6,30.2,608,42,554
699,Cookies,263,17.3,56.2,47.6,8.2,32.2,551,287,443
700,Water,252,15.2,58.3,1.2,4.3,24.5,702,179,742
701,Spinach,514,14.1,62.7,48.7,8.7,38.5,603,264,860
702,Beef Steak,513,19.4,48.6,26.4,6.7,29.5,996,105,976
703,Carrot,308,22.3,76.2,16.6,1.2,36.7,938,118,865
704,Carrot,526,15.3,50.3,40.2,0.2,32.9,398,84,826
705,Cheese,57,48.1,5.9,24.3,2.4,19.4,948,252,217
706,Green Tea,238,29.8,50.9,37.2,4.6,21.9,544,207,580
707,Potato,389,43.6,75.3,8.9,4.0,34.4,52,256,624
708,Broccoli,581,49.9,71.4,46.0,6.3,10.6,494,157,152
709,Rice,427,21.6,84.4,8.7,8.5,30.0,215,128,462
710,Milkshake,395,37.3,18.0,9.4,1.8,26.7,863,199,109
711,Pork Chop,59,35.6,78.0,7.0,3.2,5.9,858,227,807
712,Quinoa,232,1.4,25.5,4.2,9.2,11.5,726,127,288
713,Potato,50,25.6,61.7,39.1,8.9,16.7,633,204,115
714,Orange,299,19.1,72.8,6.0,7.2,31.0,770,211,121
715,Bread,320,15.9,98.7,24.6,3.0,49.2,687,143,743
716,Chocolate,140,29.0,25.9,40.0,4.4,11.3,960,182,862
717,Cookies,389,10.0,79.4,28.1,9.3,21.4,777,31,364
718,Oats,71,22.7,93.0,6.4,7.4,20.9,320,177,746
719,Cheese,60,39.2,23.6,39.6,1.4,10.8,694,257,245
720,Coffee,465,5.3,8.8,2.7,1.1,33.3,484,254,237
721,Chips,321,22.7,62.2,38.2,8.2,41.1,418,178,385
722,Pork Chop,351,33.6,86.6,25.6,2.8,48.5,154,100,414
723,Bread,470,11.6,83.9,1.3,7.7,29.1,506,207,272
724,Milk,227,31.8,6.4,10.4,2.5,31.6,247,40,206
725,Milkshake,599,43.2,32.6,14.7,0.8,14.0,608,133,732
726,Pasta,405,33.7,33.6,28.0,2.8,2.3,490,118,611
727,Carrot,513,22.3,20.9,2.3,2.8,24.0,310,289,632
728,Cookies,437,12.6,16.3,27.4,6.9,3.0,210,280,290
729,Butter,468,47.3,91.5,2.1,4.8,16.9,60,249,340
730,Pork Chop,95,4.6,67.9,13.3,2.2,23.5,477,216,558
731,Strawberry,327,25.0,94.1,36.1,5.2,43.4,847,244,827
732,Bread,163,46.2,15.2,28.2,7.8,11.1,795,1,554
733,Spinach,559,34.1,10.1,17.5,3.9,22.9,530,114,851
734,Green Tea,212,48.2,53.7,40.8,3.5,18.2,156,14,896
735,Eggs,557,34.3,21.5,50.0,3.0,37.6,269,48,945
736,Strawberry,182,30.9,86.7,36.9,0.1,47.8,291,198,805
737,Bread,267,39.8,24.2,25.8,3.6,22.7,921,259,827
738,Oats,372,21.7,64.5,17.4,4.9,28.6,438,293,736
739,Milk,158,49.2,69.7,42.4,0.8,38.6,687,227,613
740,Eggs,93,38.1,88.9,15.8,8.3,30.3,757,106,524
741,Rice,60,27.1,41.5,1.2,10.0,39.6,862,74,853
742,Pork Chop,87,7.1,73.5,9.0,3.6,44.2,518,193,675
743,Salmon,197,17.2,65.3,21.1,0.9,11.3,601,116,280
744,Tomato,93,36.2,77.0,35.4,8.1,14.0,197,223,598
745,Chips,311,17.1,24.2,21.3,1.3,42.4,915,108,736
746,Cookies,597,8.5,67.2,48.1,1.3,37.1,250,141,542
747,Butter,480,20.0,79.8,30.2,0.0,12.0,150,71,589
748,Grapes,240,34.3,40.4,2.4,1.3,21.9,980,66,962
749,Salmon,553,27.3,94.6,10.9,4.9,23.0,285,235,149
750,Tomato,460,3.6,22.6,35.6,7.0,17.2,629,109,780
751,Apple,211,43.8,94.3,17.4,7.1,6.2,523,156,730
752,Orange Juice,485,21.3,57.5,28.3,4.2,4.5,567,160,299
753,Coffee,306,14.3,14.3,41.7,5.8,18.2,423,105,894
754,Coffee,314,2.5,31.3,33.1,7.3,44.2,797,283,630
755,Salmon,544,37.5,96.9,42.1,4.6,31.8,118,123,184
756,Carrot,55,47.0,74.9,11.5,8.8,19.9,851,61,363
757,Chocolate,163,11.5,85.7,37.9,6.4,37.5,650,133,769
758,Quinoa,87,13.9,73.0,24.5,8.8,43.3,764,7,333
759,Apple,134,5.0,73.0,44.4,1.5,31.2,460,4,976
760,Milk,524,31.3,85.3,25.7,0.4,25.7,830,31,536
761,Pasta,140,32.8,38.2,24.5,1.4,9.0,346,208,354
762,Apple,345,38.6,11.2,44.1,2.3,37.5,349,86,596
763,Potato,314,17.8,79.1,27.0,4.2,30.7,192,168,863
764,Apple,568,45.6,22.4,8.4,0.4,36.4,776,205,770
765,Salmon,330,25.5,28.4,23.9,8.5,15.1,579,131,141
766,Butter,178,20.5,6.4,17.9,6.8,13.9,734,66,994
767,Oats,373,6.3,62.7,15.9,6.7,35.3,498,166,433
768,Milkshake,177,47.1,18.9,40.9,1.7,15.7,29,177,247
769,Popcorn,419,5.9,17.5,34.8,4.2,33.4,515,30,552
770,Butter,287,16.4,6.9,29.2,1.6,47.5,541,151,971
771,Coffee,580,33.8,76.1,5.8,9.1,7.7,804,208,618
772,Apple,453,34.6,19.4,20.0,9.0,7.9,727,283,357
773,Milk,401,2.4,65.8,5.2,1.3,28.5,745,247,637
774,Apple,213,12.8,25.9,12.2,0.4,11.5,113,122,471
775,Salmon,76,41.3,64.1,41.0,8.6,35.7,999,119,556
776,Cheese,524,9.4,6.9,33.1,3.7,43.6,445,158,507
777,Strawberry,560,8.6,88.4,1.4,5.7,6.6,22,38,306
778,Chocolate,311,20.5,33.6,14.4,2.5,10.8,38,268,580
779,Carrot,351,33.8,10.3,23.6,9.5,37.6,160,208,580
780,Butter,292,35.5,26.4,26.9,9.6,2.1,293,274,532
781,Paneer,458,6.1,74.2,38.2,3.9,26.7,740,30,874
782,Water,286,28.3,50.8,37.6,7.8,1.1,386,24,687
783,Green Tea,406,29.0,67.6,9.5,0.2,28.3,104,297,380
784,Chicken Breast,137,42.1,88.8,21.0,2.6,21.3,50,175,929
785,Tomato,361,34.1,60.8,23.4,4.6,12.0,343,98,408
786,Apple,327,3.4,76.3,48.4,6.4,15.6,376,144,856
787,Chocolate,386,27.3,96.5,34.7,3.8,36.0,433,20,450
788,Pasta,548,42.3,65.9,7.0,9.4,9.3,992,0,204
